name,category,lat,lon
Bar Sabotage バル サボタージュ,food_and_drink,35.6609611,139.6705611
ローソン銀行,services_and_business,35.6609694,139.6710417
自爪育成ネイルサロン em.b（エンビー）,lifestyle_services,35.66095146,139.67159137
Ispanika,education,35.6610349,139.67260598
世田谷区 あべ池ノ上接骨院,health_care,35.661031812539,139.67263193202
Spuntino,food_and_drink,35.66101239,139.67254362
Bar HunkyDory,food_and_drink,35.66087341,139.6723848
スワローチェーン 北沢店,services_and_business,35.6608568,139.6726335
まいばすけっと 池ノ上駅前店,shopping,35.66079979922482,139.6726151515842
かる小屋 池ノ上店,food_and_drink,35.66077615,139.67246603
Paper Moon,food_and_drink,35.66073788852921,139.6725978145774
Quiet Noise Arts and Break,arts_and_entertainment,35.66072668,139.67252416
ムーミンバレー,lifestyle_services,35.66072264,139.67252812
文紀堂書店,shopping,35.66050133,139.67233297
かえで薬局,shopping,35.66042697,139.67251308
chocoZAP,lifestyle_services,35.6604523,139.6726143
デンタルクリニックオオデ,health_care,35.66035958,139.67242265
和物日和～wamonobiyori～,food_and_drink,35.6603439,139.6723839
和陽日本語学院,education,35.66038263,139.67186008
リビオ下北沢,cultural_and_historic,35.66024154,139.67134425
サニーサイドアップ,lifestyle_services,35.66027146467282,139.6723377223684
はまむら,lifestyle_services,35.66010862,139.67261941
Hair Salon Light Staff,lifestyle_services,35.66008,139.67231
YG Seikotsushinkyu Clinic,health_care,35.66012105,139.67282843
三友軒,food_and_drink,35.66009591,139.67291644
claris lash,lifestyle_services,35.66006781,139.67290231
novastore(ノヴァストア),shopping,35.66005487,139.67293421
R's Nail,lifestyle_services,35.66017096,139.67274519
酒処五郎,food_and_drink,35.66023765,139.67275327
壺庵,food_and_drink,35.66026623,139.672784
the apartment,food_and_drink,35.66026799,139.67278009
鎌倉ハム池上駅前店,shopping,35.66027672,139.67275615
染織丸浅,shopping,35.66027799,139.67275223
Because Coffee Brewers,food_and_drink,35.66026416,139.67277497
カマクラカフェ,food_and_drink,35.66030870219362,139.6727365886311
みずほ銀行北沢支店京王池ノ上駅出張所,services_and_business,35.66032554,139.6730004
スリーコンカフェ池ノ上店,food_and_drink,35.66035091,139.67294175
スリーエフ 池ノ上店,shopping,35.66035238,139.67294388
Ikenoué,lifestyle_services,35.660381093720225,139.67309394018417
