[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.1
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 55071（GAT 分支 11537，lr x0.2）
alpha 固定 = 0.1000
epoch    1 | train_nll 1.01478 | train_fsce 1.67116 | val_dev 4.67808 | expl_dev -2.16323 | gat_gain -0.00072 | alpha 0.1000 *
epoch    5 | train_nll -0.57735 | train_fsce 3.02281 | val_dev 1.79722 | expl_dev -0.21524 | gat_gain +0.00906 | alpha 0.1000 *
epoch   10 | train_nll -0.92640 | train_fsce 0.95852 | val_dev 1.18492 | expl_dev 0.19878 | gat_gain -0.00192 | alpha 0.1000 *
epoch   15 | train_nll -0.97870 | train_fsce 1.19265 | val_dev 1.16767 | expl_dev 0.21044 | gat_gain +0.00363 | alpha 0.1000 *
epoch   20 | train_nll -1.01952 | train_fsce 0.93175 | val_dev 1.10359 | expl_dev 0.25377 | gat_gain +0.00315 | alpha 0.1000 *
epoch   25 | train_nll -1.09051 | train_fsce 0.59901 | val_dev 1.00318 | expl_dev 0.32167 | gat_gain +0.00753 | alpha 0.1000 *
epoch   30 | train_nll -1.13710 | train_fsce 0.61801 | val_dev 0.95767 | expl_dev 0.35244 | gat_gain +0.01471 | alpha 0.1000 *
epoch   35 | train_nll -1.17209 | train_fsce 0.60786 | val_dev 0.92656 | expl_dev 0.37348 | gat_gain +0.01409 | alpha 0.1000 *
epoch   40 | train_nll -1.19300 | train_fsce 0.63398 | val_dev 0.90341 | expl_dev 0.38913 | gat_gain +0.01696 | alpha 0.1000 *
epoch   45 | train_nll -1.20606 | train_fsce 0.62216 | val_dev 0.86946 | expl_dev 0.41209 | gat_gain +0.01397 | alpha 0.1000 *
epoch   50 | train_nll -1.21732 | train_fsce 0.60781 | val_dev 0.87727 | expl_dev 0.40681 | gat_gain +0.02670 | alpha 0.1000
epoch   55 | train_nll -1.23584 | train_fsce 0.57965 | val_dev 0.83786 | expl_dev 0.43346 | gat_gain +0.01898 | alpha 0.1000 *
epoch   60 | train_nll -1.23698 | train_fsce 0.58498 | val_dev 0.84387 | expl_dev 0.42939 | gat_gain +0.01239 | alpha 0.1000
epoch   65 | train_nll -1.23986 | train_fsce 0.60194 | val_dev 0.82671 | expl_dev 0.44100 | gat_gain +0.01592 | alpha 0.1000 *
