[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.2
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
alpha 固定 = 0.2000
epoch    1 | train_nll 0.91959 | train_fsce 1.55325 | val_dev 4.50481 | expl_dev -2.04606 | gat_gain -0.00002 | alpha 0.2000 *
epoch    5 | train_nll -0.58580 | train_fsce 2.25388 | val_dev 1.56895 | expl_dev -0.06089 | gat_gain -0.00210 | alpha 0.2000 *
epoch   10 | train_nll -0.95004 | train_fsce 1.21843 | val_dev 1.20945 | expl_dev 0.18220 | gat_gain +0.00229 | alpha 0.2000 *
epoch   15 | train_nll -0.99182 | train_fsce 1.25150 | val_dev 1.14765 | expl_dev 0.22398 | gat_gain +0.00312 | alpha 0.2000 *
epoch   20 | train_nll -1.06417 | train_fsce 0.74554 | val_dev 1.02924 | expl_dev 0.30405 | gat_gain +0.00018 | alpha 0.2000 *
epoch   25 | train_nll -1.13471 | train_fsce 0.64530 | val_dev 0.92013 | expl_dev 0.37783 | gat_gain +0.00775 | alpha 0.2000 *
epoch   30 | train_nll -1.18555 | train_fsce 0.62375 | val_dev 0.85056 | expl_dev 0.42487 | gat_gain +0.01005 | alpha 0.2000 *
epoch   35 | train_nll -1.21726 | train_fsce 0.64454 | val_dev 0.83450 | expl_dev 0.43573 | gat_gain +0.01222 | alpha 0.2000 *
epoch   40 | train_nll -1.22322 | train_fsce 0.69785 | val_dev 0.83551 | expl_dev 0.43505 | gat_gain +0.02027 | alpha 0.2000
epoch   45 | train_nll -1.23205 | train_fsce 0.71295 | val_dev 0.83155 | expl_dev 0.43772 | gat_gain +0.02166 | alpha 0.2000 *
epoch   50 | train_nll -1.23558 | train_fsce 0.67120 | val_dev 0.82544 | expl_dev 0.44186 | gat_gain +0.02421 | alpha 0.2000 *
