[dataset]
  dataset = fsq
  csv = data/tky_clean.csv
  cat_col = category
  categories = ['Dining and Drinking', 'Retail', 'Nightlife Spot', 'Community and Government', 'Travel and Transportation', 'Business and Professional Services', 'Landmarks and Outdoors', 'Arts and Entertainment', 'Health and Medicine', 'Sports and Recreation']
  half_width = 50.0
  cell = 15
  center_step = 100
  min_poi = 10
  crs = EPSG:6677

[hparams]
  LATENT_DIM = 2
  EPOCHS = 1000
  BATCH = 256
  LR = 0.001
  WEIGHT_DECAY = 1e-06
  VAL_FRAC = 0.1
  SEED = 0
  ALPHA_INIT = 0.5
  ALPHA_LEARN = False
  GAT_LR_MULT = 0.2
  GAT_DIM = 16
  GAT_HEADS = 4
  GAT_LAYERS = 2
  GAT_READOUT_DIM = 1
  N_NEIGHBORS = 15
  GRAPH_METRIC = euclidean
  EDGE_BATCH = 256
  LAMBDA_FSCE = 0.01
  WARMUP_EPOCHS = 200
  NOISE_P = 0.3
  NOISE_MODE = thinning
  NOISE_OD_P = 0.3

1233 個 patch，device=mps，噪聲 thinning p=0.3
OD：100.0% 的 patch 有觀測，總量中位數 44，最大 10449
FSCE graph：24900 條邊，a=1.5769 b=0.8951
參數量 38173（GAT 分支 11537，lr x0.2）
alpha 固定 = 0.5000
epoch    1 | train_nll 0.92082 | train_fsce 1.62195 | val_dev 4.52385 | expl_dev -2.05893 | gat_gain +0.00013 | alpha 0.5000 *
epoch    5 | train_nll -0.54848 | train_fsce 2.04949 | val_dev 1.63524 | expl_dev -0.10572 | gat_gain -0.00538 | alpha 0.5000 *
epoch   10 | train_nll -0.93604 | train_fsce 1.12515 | val_dev 1.20767 | expl_dev 0.18340 | gat_gain +0.00772 | alpha 0.5000 *
epoch   15 | train_nll -0.98452 | train_fsce 1.23027 | val_dev 1.16674 | expl_dev 0.21107 | gat_gain +0.01372 | alpha 0.5000 *
epoch   20 | train_nll -1.02094 | train_fsce 0.98094 | val_dev 1.10850 | expl_dev 0.25046 | gat_gain +0.01024 | alpha 0.5000 *
epoch   25 | train_nll -1.10549 | train_fsce 0.66490 | val_dev 0.97179 | expl_dev 0.34289 | gat_gain +0.01914 | alpha 0.5000 *
epoch   30 | train_nll -1.16285 | train_fsce 0.65892 | val_dev 0.88623 | expl_dev 0.40075 | gat_gain +0.03422 | alpha 0.5000 *
epoch   35 | train_nll -1.19935 | train_fsce 0.71776 | val_dev 0.85702 | expl_dev 0.42050 | gat_gain +0.01904 | alpha 0.5000 *
epoch   40 | train_nll -1.21208 | train_fsce 0.73229 | val_dev 0.84300 | expl_dev 0.42998 | gat_gain +0.03593 | alpha 0.5000 *
epoch   45 | train_nll -1.22222 | train_fsce 0.74238 | val_dev 0.83800 | expl_dev 0.43336 | gat_gain +0.03485 | alpha 0.5000 *
epoch   50 | train_nll -1.22728 | train_fsce 0.72890 | val_dev 0.83618 | expl_dev 0.43459 | gat_gain +0.03290 | alpha 0.5000 *
