model,log,n_evaluations,best_epoch,best_val_deviance,final_val_deviance,tail_mean,tail_std
v2_ae,result.log,7,30,0.85534,0.85534,0.85534,0.0
v2_ae_fsce,result.log,201,340,0.72754,1.00288,0.9615404878048781,0.03141411099738615
v2_ddae,result.log,201,855,0.64495,0.6983,0.6912148780487805,0.034208413959284284
v2_ddae_fsce,result-no-fsce.log,201,515,0.63746,0.66439,0.6640926829268292,0.012471182787608854
v2_ddae_fsce,result-no-layernorm.log,201,1000,0.63803,0.63803,0.6656812195121953,0.01709260588604352
v2_ddae_fsce,result-withfsce.log,201,1000,0.61387,0.61387,0.6513434146341462,0.01792695311671173
v2_ddae_fsce,result.log,201,995,0.6287,0.66163,0.6725390243902438,0.02347393840037053
v2_ddae_fsce,result_base.log,201,1000,0.61387,0.61387,0.6513434146341462,0.01792695311671173
v2_ddae_residual,result-withfsce.log,201,885,0.6327,0.6589,0.6598107317073171,0.014606463533354652
v2_ddae_residual,result.log,201,950,0.64558,0.66333,0.6810790243902438,0.019929744830890085
v2_vae,result.log,201,820,0.73968,0.77932,0.7618278048780487,0.012322571872826529
v3_ddae_gat,result-no-fsce.log,201,515,0.63746,0.66439,0.6640926829268292,0.012471182787608854
v3_ddae_gat,result-no-layernorm.log,201,1000,0.63803,0.63803,0.6656812195121953,0.01709260588604352
v3_ddae_gat,result-withfsce.log,201,1000,0.61387,0.61387,0.6513434146341462,0.01792695311671173
v3_ddae_gat,result_base.log,201,1000,0.61387,0.61387,0.6513434146341462,0.01792695311671173
v3_ddae_moe_test,result.log,202,565,0.63979,0.64833,0.6470929268292683,0.001242381269784846
v3_ddae_moe_test2,result.log,118,335,0.69002,0.71143,0.7114065217391305,0.006302938426347199
v3_ddae_mot,noise_compare.log,168,675,0.64667,0.71507,0.7503527272727273,0.05249503871038238
v3_ddae_mot,result.log,201,785,0.67431,0.70119,0.7030243902439024,0.012690436369325622
