category,category_zh,poi_count,poi_count_share,dominant_patch_count,dominant_patch_share,patch_presence_share,secondary_patch_count
Dining and Drinking,餐飲,11777,0.5032260821262231,1044,0.8467153284671532,0.9959448499594485,0
Retail,零售,4673,0.1996752553091484,128,0.10381184103811841,0.8726682887266829,712
Nightlife Spot,夜生活,2651,0.11327607571678845,15,0.012165450121654502,0.6780210867802109,314
Community and Government,社區/政府,411,0.017561851044737856,9,0.0072992700729927005,0.2360097323600973,23
Travel and Transportation,交通,1274,0.05443746528222877,27,0.021897810218978103,0.42254663422546634,90
Business and Professional Services,商業服務,924,0.03948211767722087,3,0.0024330900243309003,0.46958637469586373,42
Landmarks and Outdoors,地標/戶外,448,0.019142844934410118,2,0.0016220600162206002,0.2611516626115166,14
Arts and Entertainment,藝文娛樂,950,0.04059308635645003,5,0.0040551500405515,0.41849148418491483,33
Health and Medicine,醫療,219,0.009357774644276375,0,0.0,0.16220600162206,4
Sports and Recreation,運動休閒,76,0.003247446908516002,0,0.0,0.059205190592051905,0
