,餐飲,零售,夜生活,社區/政府,交通,商業服務,地標/戶外,藝文娛樂,醫療,運動休閒
餐飲,0.1726143110730244,0.23810981208300178,0.054293934014813,0.010589459509089795,0.39438085327783556,0.023076452225010712,0.026014568158168574,0.07290200159147947,0.0017139009610087532,0.006304707106567913
零售,0.18434764485202168,0.4203487564262887,0.022648325691260247,0.009552591357510073,0.2629220508545227,0.023794636654161455,0.022266222036959844,0.05019452549673475,0.0014936779213561206,0.0024315687091843825
夜生活,0.1922043010752688,0.08702956989247312,0.17775537634408603,0.005040322580645161,0.4536290322580645,0.01478494623655914,0.015456989247311828,0.050067204301075266,0.0013440860215053765,0.002688172043010753
社區/政府,0.1794871794871795,0.2282051282051282,0.020512820512820513,0.20256410256410257,0.2903846153846154,0.01858974358974359,0.029487179487179487,0.026923076923076925,0.000641025641025641,0.003205128205128205
交通,0.10076119713187155,0.14102930479060585,0.020952405694689806,0.007767847864491323,0.6657617167203574,0.016094253351345733,0.015886417956978073,0.029733451106723475,0.0008053621531746856,0.0012080432297620284
商業服務,0.2710059171597633,0.24812623274161735,0.03944773175542406,0.011834319526627219,0.30216962524654833,0.0485207100591716,0.02485207100591716,0.05088757396449704,0.0007889546351084812,0.002366863905325444
地標/戶外,0.21945773524720893,0.22264752791068582,0.03221690590111643,0.013716108452950558,0.312280701754386,0.025518341307814992,0.13620414673046252,0.03508771929824561,0.0012759170653907496,0.001594896331738437
藝文娛樂,0.2578471018678991,0.19352975158867705,0.04563835932986713,0.006932409012131715,0.3011746581937223,0.02060466011939149,0.016175621028307337,0.1563643366069709,0.0007702676680146351,0.0009628345850182939
醫療,0.25925925925925924,0.3194444444444444,0.013888888888888888,0.009259259259259259,0.28703703703703703,0.009259259259259259,0.009259259259259259,0.032407407407407406,0.046296296296296294,0.013888888888888888
運動休閒,0.4084507042253521,0.25,0.03873239436619718,0.014084507042253521,0.20774647887323944,0.02112676056338028,0.01056338028169014,0.02112676056338028,0.0,0.028169014084507043
