representation,kind,dimensions,pca_explained_variance,n_train,n_validation,accuracy,balanced_accuracy,macro_f1,macro_neighbor_purity,non_dining_neighbor_dining_fraction,non_dining_predicted_as_dining,total_log_count_r2,composition_r2,confident_macro_f1,supported_class_macro_f1
log1p counts (10D),raw,10,,1110,123,0.9105691056910569,0.35185185185185186,0.35873015873015873,0.35674523007856346,0.6051282051282051,0.8461538461538461,0.8767867816747383,0.8259969421064389,0.8517952635599695,0.3868995633187773
composition (10D),raw,10,,1110,123,0.959349593495935,0.46296296296296297,0.475462962962963,0.425263748597082,0.4564102564102564,0.38461538461538464,0.2371868864416521,0.8972742822181305,0.9611611611611611,0.6205156950672646
Hellinger composition (10D),raw,10,,1110,123,0.959349593495935,0.46296296296296297,0.475462962962963,0.35833894500561175,0.5128205128205128,0.38461538461538464,0.34620846928526383,0.8497629486713728,0.9130824372759857,0.6205156950672646
CLR composition (10D),raw,10,,1110,123,0.9186991869918699,0.3703703703703704,0.38669301712779974,0.3483052749719417,0.5846153846153846,0.7692307692307693,0.7888489969233872,0.8347273145992453,0.7706855791962175,0.442849548112706
log1p counts PCA-2D,raw,2,0.3124905164897348,1110,123,0.8861788617886179,0.3303030303030303,0.2776044915782907,0.24601571268237932,0.6717948717948717,0.8461538461538461,0.8064334561037907,0.22423017303520348,0.24202127659574468,0.23684210526315788
composition PCA-2D,raw,2,0.3071827131993725,1110,123,0.926829268292683,0.27474747474747474,0.24613899613899615,0.2652413019079686,0.3487179487179487,0.3076923076923077,-0.0017579267392795472,0.5062581942320641,0.49863387978142076,0.43074324324324326
Hellinger composition PCA-2D,raw,2,0.3093833579282542,1110,123,0.8943089430894309,0.2176767676767677,0.1868997599039616,0.27593714927048263,0.48717948717948717,0.5384615384615384,0.05403912548656331,0.4826723412798683,0.37953303527074017,0.3732436472346786
CLR composition PCA-2D,raw,2,0.3405406988098747,1110,123,0.8780487804878049,0.3287878787878788,0.2769423558897243,0.243625140291807,0.6974358974358974,0.8461538461538461,0.5677307967206221,0.3192039067516967,0.4906417112299465,0.2356828193832599
composition UMAP-2D,raw,2,,1110,123,0.975609756097561,0.6481481481481481,0.6546205926316715,0.5173288439955107,0.2923076923076923,0.23076923076923078,-0.019747397337229078,0.7829718874219467,1.0,0.9788838612368025
Hellinger composition UMAP-2D,raw,2,,1110,123,0.8943089430894309,0.36582491582491583,0.37140759387455424,0.2796632996632997,0.7076923076923077,0.7692307692307693,0.08934621941330101,0.5658789378556519,0.8261648745519713,0.4122751322751323
log1p counts UMAP-2D,raw,2,,1110,123,0.8943089430894309,0.36582491582491583,0.37140759387455424,0.3020314253647587,0.6615384615384615,0.7692307692307693,0.11879009893364456,0.5777326365545641,0.8517952635599695,0.4122751322751323
Original GAT fused,model,2,,1110,123,0.9024390243902439,0.3673400673400673,0.376539026318762,0.3114141414141414,0.5794871794871795,0.6923076923076923,0.848456804959608,0.4876174864320469,0.8517952635599695,0.42969518190757133
Original GAT count branch,model,2,,1110,123,0.9105691056910569,0.3688552188552188,0.37730544309491676,0.321986531986532,0.6666666666666666,0.6923076923076923,0.829618510639049,0.5388363878044472,0.8517952635599695,0.4211481733605627
Original GAT OD branch,model,2,,1110,123,0.9186991869918699,0.40437710437710433,0.3610258262597074,0.2868013468013468,0.5487179487179488,0.6153846153846154,-0.21510603588035804,0.37610812477812355,0.3888464476699771,0.3839285714285714
